bank_txn_id,value_date,description,utr,credit_paise,debit_paise
bank_001,2026-08-11 10:00:00,NEFT CR-UTR:UTR001 SETTL setl_001 RZPGROUP,UTR001,5646912,0
bank_002,2026-08-15 06:00:00,NEFT CR SETTL setl_002 RZPGROUP,,46144567,0
bank_003,2026-08-09 07:00:00,NEFT CR-UTR:UTR003 SETTL setl_003 RZPGROUP,UTR003,26713035,0
bank_004,2026-08-13 06:00:00,NEFT CR-UTR:UTR004 SETTL setl_004 RZPGROUP,UTR004,31997800,0
bank_005,2026-08-12 09:00:00,NEFT CR-UTR:UTR005 SETTL setl_005 RZPGROUP,UTR005,16795350,0
bank_006,2026-08-15 08:00:00,NEFT CR-UTR:UTR006 SETTL setl_006 RZPGROUP,UTR006,34770483,0
bank_008,2026-08-14 11:00:00,NEFT CR-UTR:UTR008 SETTL setl_008 RZPGROUP,UTR008,34683974,0
bank_009,2026-08-13 04:00:00,NEFT CR-UTR:UTR009 SETTL setl_009 RZPGROUP,UTR009,26484362,0
bank_011,2026-08-16 12:00:00,NEFT CR-UTR:UTR011 SETTL setl_011 RZPGROUP,UTR011,31359601,0
bank_012,2026-08-11 05:00:00,NEFT CR-UTR:UTR012 SETTL setl_012 RZPGROUP,UTR012,25360538,0
bank_013,2026-08-12 05:00:00,NEFT CR-UTR:UTR013 SETTL setl_013 RZPGROUP,UTR013,39946087,0
bank_014,2026-08-15 07:00:00,NEFT CR-UTR:UTR014 SETTL setl_014 RZPGROUP,UTR014,28632052,0
bank_016,2026-08-11 13:00:00,NEFT CR-UTR:UTR016 SETTL setl_016 RZPGROUP,UTR016,38166402,0
bank_017,2026-08-15 07:00:00,NEFT CR SETTL setl_017 RZPGROUP,,24904840,0
bank_018,2026-08-12 08:00:00,NEFT CR-UTR:UTR018 SETTL setl_018 RZPGROUP,UTR018,14007044,0
bank_019,2026-08-16 07:00:00,NEFT CR-UTR:UTR019 SETTL setl_019 RZPGROUP,UTR019,19705705,0
bank_020,2026-08-11 11:00:00,NEFT CR-UTR:UTR020 SETTL setl_020 RZPGROUP,UTR020,27874658,0
bank_023,2026-08-12 12:00:00,NEFT CR-UTR:UTR023 SETTL setl_023 RZPGROUP,UTR023,2153646,0
bank_024,2026-08-15 12:00:00,NEFT CR SETTL setl_024 RZPGROUP,,37169498,0
bank_025,2026-08-18 04:00:00,NEFT CR-UTR:UTR025 SETTL setl_025 RZPGROUP,UTR025,30397481,0
bank_027,2026-08-11 09:00:00,NEFT CR-UTR:UTR027 SETTL setl_027 RZPGROUP,UTR027,17374746,0
bank_028,2026-08-09 02:00:00,NEFT CR-UTR:UTR028 SETTL setl_028 RZPGROUP,UTR028,1089858,0
bank_029,2026-08-17 06:00:00,NEFT CR-UTR:UTR029 SETTL setl_029 RZPGROUP,UTR029,38707914,0
bank_030,2026-08-11 05:00:00,NEFT CR-UTR:UTR030 SETTL setl_030 RZPGROUP,UTR030,6559065,0
bank_031,2026-08-16 06:00:00,NEFT CR-UTR:UTR031 SETTL setl_031 RZPGROUP,UTR031,8686934,0
bank_032,2026-08-11 08:00:00,NEFT CR-UTR:UTR032 SETTL setl_032 RZPGROUP,UTR032,29573497,0
bank_033,2026-08-14 05:00:00,NEFT CR-UTR:UTR033 SETTL setl_033 RZPGROUP,UTR033,35787892,0
bank_034,2026-08-10 07:00:00,NEFT CR-UTR:UTR034 SETTL setl_034 RZPGROUP,UTR034,3627619,0
bank_035,2026-08-12 13:00:00,NEFT CR-UTR:UTR035 SETTL setl_035 RZPGROUP,UTR035,22290334,0
bank_036,2026-08-14 11:00:00,NEFT CR-UTR:UTR036 SETTL setl_036 RZPGROUP,UTR036,33395517,0
bank_038,2026-08-12 08:00:00,NEFT CR-UTR:UTR038 SETTL setl_038 RZPGROUP,UTR038,29269055,0
bank_039,2026-08-15 11:00:00,NEFT CR-UTR:UTR039 SETTL setl_039 RZPGROUP,UTR039,25055987,0
bank_040,2026-08-13 05:00:00,NEFT CR-UTR:UTR040 SETTL setl_040 RZPGROUP,UTR040,35992253,0
bank_041,2026-08-10 08:00:00,NEFT CR SETTL setl_041 RZPGROUP,,25108615,0
bank_042,2026-08-18 04:00:00,NEFT CR-UTR:UTR042 SETTL setl_042 RZPGROUP,UTR042,40689029,0
bank_043,2026-08-13 11:00:00,NEFT CR-UTR:UTR043 SETTL setl_043 RZPGROUP,UTR043,15772766,0
bank_044,2026-08-10 06:00:00,NEFT CR-UTR:UTR044 SETTL setl_044 RZPGROUP,UTR044,36077785,0
bank_045,2026-08-14 08:00:00,NEFT CR-UTR:UTR045 SETTL setl_045 RZPGROUP,UTR045,36901183,0
bank_046,2026-08-10 08:00:00,NEFT CR-UTR:UTR046 SETTL setl_046 RZPGROUP,UTR046,11174606,0
bank_047,2026-08-12 06:00:00,NEFT CR-UTR:UTR047 SETTL setl_047 RZPGROUP,UTR047,11742773,0
bank_049,2026-08-18 08:00:00,NEFT CR-UTR:UTR049 SETTL setl_049 RZPGROUP,UTR049,44773408,0
bank_050,2026-08-17 09:00:00,NEFT CR-UTR:UTR050 SETTL setl_050 RZPGROUP,UTR050,9535425,0
bank_051,2026-08-17 02:00:00,NEFT CR-UTR:UTR051 SETTL setl_051 RZPGROUP,UTR051,25270795,0
bank_052,2026-08-17 11:00:00,NEFT CR-UTR:UTR052 SETTL setl_052 RZPGROUP,UTR052,12802850,0
bank_055,2026-08-16 06:00:00,NEFT CR-UTR:UTR055 SETTL setl_055 RZPGROUP,UTR055,12376652,0
bank_056,2026-08-11 08:00:00,NEFT CR-UTR:UTR056 SETTL setl_056 RZPGROUP,UTR056,35387568,0
bank_057,2026-08-10 06:00:00,NEFT CR-UTR:UTR057 SETTL setl_057 RZPGROUP,UTR057,2153646,0
bank_058,2026-08-09 05:00:00,NEFT CR-UTR:UTR058 SETTL setl_058 RZPGROUP,UTR058,5973127,0
bank_059,2026-08-15 09:00:00,NEFT CR-UTR:UTR059 SETTL setl_059 RZPGROUP,UTR059,3150550,0
bank_060,2026-08-14 11:00:00,NEFT CR SETTL setl_060 RZPGROUP,,35352027,0
bank_061,2026-08-18 08:00:00,NEFT CR-UTR:UTR061 SETTL setl_061 RZPGROUP,UTR061,4215510,0
bank_062,2026-08-14 03:00:00,NEFT CR SETTL setl_062 RZPGROUP,,4772741,0
bank_063,2026-08-10 12:00:00,NEFT CR-UTR:UTR063 SETTL setl_063 RZPGROUP,UTR063,24183183,0
bank_064,2026-08-11 07:00:00,NEFT CR-UTR:UTR064 SETTL setl_064 RZPGROUP,UTR064,4768445,0
bank_065,2026-08-16 09:00:00,NEFT CR-UTR:UTR065 SETTL setl_065 RZPGROUP,UTR065,44006251,0
bank_066,2026-08-12 04:00:00,NEFT CR-UTR:UTR066 SETTL setl_066 RZPGROUP,UTR066,34016214,0
bank_068,2026-08-15 07:00:00,NEFT CR-UTR:UTR068 SETTL setl_068 RZPGROUP,UTR068,2872374,0
bank_069,2026-08-14 04:00:00,NEFT CR SETTL setl_069 RZPGROUP,,10518074,0
bank_071,2026-08-16 06:00:00,NEFT CR-UTR:UTR071 SETTL setl_071 RZPGROUP,UTR071,20983227,0
bank_072,2026-08-14 07:00:00,NEFT CR-UTR:UTR072 SETTL setl_072 RZPGROUP,UTR072,25610191,0
bank_073,2026-08-10 04:00:00,NEFT CR-UTR:UTR073 SETTL setl_073 RZPGROUP,UTR073,2153646,0
bank_075,2026-08-11 06:00:00,NEFT CR-UTR:UTR075 SETTL setl_075 RZPGROUP,UTR075,42984216,0
bank_076,2026-08-09 09:00:00,NEFT CR-UTR:UTR076 SETTL setl_076 RZPGROUP,UTR076,17055707,0
bank_077,2026-08-12 08:00:00,NEFT CR-UTR:UTR077 SETTL setl_077 RZPGROUP,UTR077,29368746,0
bank_079,2026-08-13 03:00:00,NEFT CR-UTR:UTR079 SETTL setl_079 RZPGROUP,UTR079,25810646,0
bank_080,2026-08-16 10:00:00,NEFT CR-UTR:UTR080 SETTL setl_080 RZPGROUP,UTR080,37080548,0
bank_081,2026-08-12 05:00:00,NEFT CR-UTR:UTR081 SETTL setl_081 RZPGROUP,UTR081,17429033,0
bank_082,2026-08-11 03:00:00,NEFT CR-UTR:UTR082 SETTL setl_082 RZPGROUP,UTR082,32184390,0
bank_084,2026-08-13 04:00:00,NEFT CR-UTR:UTR084 SETTL setl_084 RZPGROUP,UTR084,8614094,0
bank_085,2026-08-13 12:00:00,NEFT CR-UTR:UTR085 SETTL setl_085 RZPGROUP,UTR085,18537907,0
bank_088,2026-08-13 02:00:00,NEFT CR-UTR:UTR088 SETTL setl_088 RZPGROUP,UTR088,23623706,0
bank_090,2026-08-13 06:00:00,NEFT CR-UTR:UTR090 SETTL setl_090 RZPGROUP,UTR090,43369931,0
bank_091,2026-08-13 08:00:00,NEFT CR-UTR:UTR091 SETTL setl_091 RZPGROUP,UTR091,19620173,0
bank_092,2026-08-18 10:00:00,NEFT CR-UTR:UTR092 SETTL setl_092 RZPGROUP,UTR092,512122,0
bank_093,2026-08-14 06:00:00,NEFT CR-UTR:UTR093 SETTL setl_093 RZPGROUP,UTR093,32687041,0
bank_094,2026-08-10 02:00:00,NEFT CR-UTR:UTR094 SETTL setl_094 RZPGROUP,UTR094,15912294,0
bank_095,2026-08-13 08:00:00,NEFT CR-UTR:UTR095 SETTL setl_095 RZPGROUP,UTR095,46662742,0
bank_096,2026-08-10 10:00:00,NEFT CR-UTR:UTR096 SETTL setl_096 RZPGROUP,UTR096,40360373,0
bank_097,2026-08-13 08:00:00,NEFT CR-UTR:UTR097 SETTL setl_097 RZPGROUP,UTR097,41382957,0
bank_098,2026-08-15 08:00:00,NEFT CR-UTR:UTR098 SETTL setl_098 RZPGROUP,UTR098,38673715,0
bank_099,2026-08-10 07:00:00,NEFT CR-UTR:UTR099 SETTL setl_099 RZPGROUP,UTR099,13590622,0
bank_100,2026-08-12 07:00:00,NEFT CR-UTR:UTR100 SETTL setl_100 RZPGROUP,UTR100,19602890,0
bank_101,2026-08-09 10:00:00,NEFT CR-UTR:UTR101 SETTL setl_101 RZPGROUP,UTR101,45362861,0
bank_102,2026-08-13 08:00:00,NEFT CR SETTL setl_102 RZPGROUP,,46650537,0
bank_103,2026-08-10 06:00:00,NEFT CR-UTR:UTR103 SETTL setl_103 RZPGROUP,UTR103,15678446,0
bank_104,2026-08-12 11:00:00,NEFT CR SETTL setl_104 RZPGROUP,,23320240,0
bank_105,2026-08-12 07:00:00,NEFT CR-UTR:UTR105 SETTL setl_105 RZPGROUP,UTR105,31613782,0
bank_107,2026-08-12 02:00:00,NEFT CR-UTR:UTR107 SETTL setl_107 RZPGROUP,UTR107,46256755,0
bank_108,2026-08-10 03:00:00,NEFT CR-UTR:UTR108 SETTL setl_108 RZPGROUP,UTR108,48558813,0
bank_109,2026-08-12 05:00:00,NEFT CR-UTR:UTR109 SETTL setl_109 RZPGROUP,UTR109,40374726,0
bank_111,2026-08-18 07:00:00,NEFT CR-UTR:UTR111 SETTL setl_111 RZPGROUP,UTR111,40469437,0
bank_112,2026-08-17 08:00:00,NEFT CR-UTR:UTR112 SETTL setl_112 RZPGROUP,UTR112,5739927,0
bank_113,2026-08-17 07:00:00,NEFT CR-UTR:UTR113 SETTL setl_113 RZPGROUP,UTR113,16671933,0
bank_114,2026-08-17 07:00:00,NEFT CR-UTR:UTR114 SETTL setl_114 RZPGROUP,UTR114,27028705,0
bank_116,2026-08-11 05:00:00,NEFT CR-UTR:UTR116 SETTL setl_116 RZPGROUP,UTR116,11560003,0
bank_118,2026-08-16 06:00:00,NEFT CR-UTR:UTR118 SETTL setl_118 RZPGROUP,UTR118,31237282,0
bank_119,2026-08-10 06:00:00,NEFT CR-UTR:UTR119 SETTL setl_119 RZPGROUP,UTR119,30678977,0
bank_120,2026-08-16 08:00:00,NEFT CR-UTR:UTR120 SETTL setl_120 RZPGROUP,UTR120,40697329,0
bank_121,2026-08-10 10:00:00,NEFT CR-UTR:UTR121 SETTL setl_121 RZPGROUP,UTR121,17447976,0
bank_122,2026-08-13 06:00:00,NEFT CR-UTR:UTR122 SETTL setl_122 RZPGROUP,UTR122,21944298,0
bank_123,2026-08-17 04:00:00,NEFT CR-UTR:UTR123 SETTL setl_123 RZPGROUP,UTR123,3546866,0
bank_124,2026-08-18 10:00:00,NEFT CR-UTR:UTR124 SETTL setl_124 RZPGROUP,UTR124,28579033,0
bank_125,2026-08-17 10:00:00,NEFT CR-UTR:UTR125 SETTL setl_125 RZPGROUP,UTR125,44536534,0
bank_126,2026-08-14 06:00:00,NEFT CR-UTR:UTR126 SETTL setl_126 RZPGROUP,UTR126,26012810,0
bank_127,2026-08-09 10:00:00,NEFT CR-UTR:UTR127 SETTL setl_127 RZPGROUP,UTR127,2153646,0
bank_128,2026-08-09 04:00:00,NEFT CR-UTR:UTR128 SETTL setl_128 RZPGROUP,UTR128,43362315,0
bank_129,2026-08-13 08:00:00,NEFT CR-UTR:UTR129 SETTL setl_129 RZPGROUP,UTR129,36069779,0
bank_132,2026-08-12 06:00:00,NEFT CR-UTR:UTR132 SETTL setl_132 RZPGROUP,UTR132,8155577,0
bank_133,2026-08-16 05:00:00,NEFT CR-UTR:UTR133 SETTL setl_133 RZPGROUP,UTR133,8061940,0
bank_134,2026-08-10 10:00:00,NEFT CR-UTR:UTR134 SETTL setl_134 RZPGROUP,UTR134,18568673,0
bank_135,2026-08-17 06:00:00,NEFT CR-UTR:UTR135 SETTL setl_135 RZPGROUP,UTR135,22105501,0
bank_136,2026-08-12 03:00:00,NEFT CR-UTR:UTR136 SETTL setl_136 RZPGROUP,UTR136,11386289,0
bank_137,2026-08-15 06:00:00,NEFT CR-UTR:UTR137 SETTL setl_137 RZPGROUP,UTR137,39379384,0
bank_139,2026-08-14 10:00:00,NEFT CR SETTL setl_139 RZPGROUP,,36119575,0
bank_140,2026-08-11 07:00:00,NEFT CR-UTR:UTR140 SETTL setl_140 RZPGROUP,UTR140,1056953,0
bank_140,2026-08-11 07:00:00,NEFT CR-UTR:UTR140 SETTL setl_140 RZPGROUP,UTR140,1056953,0
bank_141,2026-08-11 08:00:00,NEFT CR-UTR:UTR141 SETTL setl_141 RZPGROUP,UTR141,20800640,0
bank_143,2026-08-12 10:00:00,NEFT CR-UTR:UTR143 SETTL setl_143 RZPGROUP,UTR143,12553282,0
bank_144,2026-08-12 08:00:00,NEFT CR-UTR:UTR144 SETTL setl_144 RZPGROUP,UTR144,11440186,0
bank_145,2026-08-14 08:00:00,NEFT CR-UTR:UTR145 SETTL setl_145 RZPGROUP,UTR145,26202769,0
bank_146,2026-08-15 06:00:00,NEFT CR-UTR:UTR146 SETTL setl_146 RZPGROUP,UTR146,5360339,0
bank_147,2026-08-11 11:00:00,NEFT CR-UTR:UTR147 SETTL setl_147 RZPGROUP,UTR147,9255955,0
bank_148,2026-08-11 05:00:00,NEFT CR-UTR:UTR148 SETTL setl_148 RZPGROUP,UTR148,7825358,0
bank_149,2026-08-18 10:00:00,NEFT CR-UTR:UTR149 SETTL setl_149 RZPGROUP,UTR149,30373266,0
bank_150,2026-08-17 11:00:00,NEFT CR-UTR:UTR150 SETTL setl_150 RZPGROUP,UTR150,2022808,0
bank_151,2026-08-09 11:00:00,NEFT CR-UTR:UTR151 SETTL setl_151 RZPGROUP,UTR151,30509376,0
bank_152,2026-08-14 07:00:00,NEFT CR-UTR:UTR152 SETTL setl_152 RZPGROUP,UTR152,46633157,0
bank_154,2026-08-11 11:00:00,NEFT CR-UTR:UTR154 SETTL setl_154 RZPGROUP,UTR154,12780002,0
bank_156,2026-08-16 10:00:00,NEFT CR-UTR:UTR156 SETTL setl_156 RZPGROUP,UTR156,16974910,0
bank_158,2026-08-17 07:00:00,NEFT CR-UTR:UTR158 SETTL setl_158 RZPGROUP,UTR158,30558587,0
bank_160,2026-08-14 05:00:00,NEFT CR-UTR:UTR160 SETTL setl_160 RZPGROUP,UTR160,18659493,0
bank_161,2026-08-15 08:00:00,NEFT CR-UTR:UTR161 SETTL setl_161 RZPGROUP,UTR161,11694636,0
bank_162,2026-08-09 06:00:00,NEFT CR-UTR:UTR162 SETTL setl_162 RZPGROUP,UTR162,39559823,0
bank_163,2026-08-11 07:00:00,NEFT CR-UTR:UTR163 SETTL setl_163 RZPGROUP,UTR163,2153646,0
bank_164,2026-08-17 11:00:00,NEFT CR-UTR:UTR164 SETTL setl_164 RZPGROUP,UTR164,2153646,0
bank_167,2026-08-13 12:00:00,NEFT CR-UTR:UTR167 SETTL setl_167 RZPGROUP,UTR167,39486300,0
bank_168,2026-08-13 06:00:00,NEFT CR-UTR:UTR168 SETTL setl_168 RZPGROUP,UTR168,7182399,0
bank_169,2026-08-17 09:00:00,NEFT CR SETTL setl_169 RZPGROUP,,43670076,0
bank_170,2026-08-09 07:00:00,NEFT CR-UTR:UTR170 SETTL setl_170 RZPGROUP,UTR170,46411588,0
bank_171,2026-08-13 06:00:00,NEFT CR-UTR:UTR171 SETTL setl_171 RZPGROUP,UTR171,45383072,0
bank_172,2026-08-14 08:00:00,NEFT CR-UTR:UTR172 SETTL setl_172 RZPGROUP,UTR172,19241232,0
bank_173,2026-08-16 09:00:00,NEFT CR-UTR:UTR173 SETTL setl_173 RZPGROUP,UTR173,16366527,0
bank_174,2026-08-10 04:00:00,NEFT CR-UTR:UTR174 SETTL setl_174 RZPGROUP,UTR174,47060430,0
bank_175,2026-08-14 05:00:00,NEFT CR-UTR:UTR175 SETTL setl_175 RZPGROUP,UTR175,1070428,0
bank_176,2026-08-13 06:00:00,NEFT CR-UTR:UTR176 SETTL setl_176 RZPGROUP,UTR176,39830969,0
bank_177,2026-08-10 07:00:00,NEFT CR-UTR:UTR177 SETTL setl_177 RZPGROUP,UTR177,21589083,0
bank_178,2026-08-14 08:00:00,NEFT CR-UTR:UTR178 SETTL setl_178 RZPGROUP,UTR178,29535124,0
bank_179,2026-08-14 12:00:00,NEFT CR-UTR:UTR179 SETTL setl_179 RZPGROUP,UTR179,18038795,0
bank_181,2026-08-14 03:00:00,NEFT CR-UTR:UTR181 SETTL setl_181 RZPGROUP,UTR181,19207448,0
bank_182,2026-08-17 11:00:00,NEFT CR-UTR:UTR182 SETTL setl_182 RZPGROUP,UTR182,37617959,0
bank_183,2026-08-15 10:00:00,NEFT CR-UTR:UTR183 SETTL setl_183 RZPGROUP,UTR183,17428350,0
bank_184,2026-08-10 03:00:00,NEFT CR-UTR:UTR184 SETTL setl_184 RZPGROUP,UTR184,3327767,0
bank_184,2026-08-10 03:00:00,NEFT CR-UTR:UTR184 SETTL setl_184 RZPGROUP,UTR184,3327767,0
bank_186,2026-08-14 02:00:00,NEFT CR-UTR:UTR186 SETTL setl_186 RZPGROUP,UTR186,24331596,0
bank_187,2026-08-13 09:00:00,NEFT CR-UTR:UTR187 SETTL setl_187 RZPGROUP,UTR187,44419073,0
bank_189,2026-08-10 06:00:00,NEFT CR-UTR:UTR189 SETTL setl_189 RZPGROUP,UTR189,18902616,0
bank_190,2026-08-15 08:00:00,NEFT CR-UTR:UTR190 SETTL setl_190 RZPGROUP,UTR190,22141042,0
bank_192,2026-08-11 11:00:00,NEFT CR-UTR:UTR192 SETTL setl_192 RZPGROUP,UTR192,2153646,0
bank_195,2026-08-17 09:00:00,NEFT CR-UTR:UTR195 SETTL setl_195 RZPGROUP,UTR195,6559456,0
bank_196,2026-08-16 09:00:00,NEFT CR-UTR:UTR196 SETTL setl_196 RZPGROUP,UTR196,1755470,0
bank_197,2026-08-16 08:00:00,NEFT CR-UTR:UTR197 SETTL setl_197 RZPGROUP,UTR197,29477516,0
bank_198,2026-08-18 08:00:00,NEFT CR-UTR:UTR198 SETTL setl_198 RZPGROUP,UTR198,5905170,0
bank_199,2026-08-14 09:00:00,NEFT CR-UTR:UTR199 SETTL setl_199 RZPGROUP,UTR199,6125934,0
bank_201,2026-08-13 09:00:00,NEFT CR-UTR:UTR201 SETTL setl_201 RZPGROUP,UTR201,4591717,0
bank_202,2026-08-15 04:00:00,NEFT CR-UTR:UTR202 SETTL setl_202 RZPGROUP,UTR202,43680036,0
bank_203,2026-08-16 09:00:00,NEFT CR SETTL setl_203 RZPGROUP,,10386065,0
bank_204a,2026-08-12 09:00:00,NEFT CR-EXTERNAL REF,,29393351,0
bank_204b,2026-08-12 09:00:00,NEFT CR-EXTERNAL REF,,29393351,0
bank_205,2026-08-11 10:00:00,NEFT CR-UTR:UTR205 SETTL setl_205 RZPGROUP,UTR205,15930650,0
bank_206a,2026-08-17 10:00:00,NEFT CR-EXTERNAL REF,,16326678,0
bank_206b,2026-08-17 10:00:00,NEFT CR-EXTERNAL REF,,16326678,0
bank_207,2026-08-09 04:00:00,NEFT CR-UTR:UTR207 SETTL setl_207 RZPGROUP,UTR207,45041625,0
bank_208,2026-08-16 07:00:00,NEFT CR-UTR:UTR208 SETTL setl_208 RZPGROUP,UTR208,26619984,0
bank_209,2026-08-09 10:00:00,NEFT CR-UTR:UTR209 SETTL setl_209 RZPGROUP,UTR209,17811001,0
bank_210,2026-08-15 10:00:00,NEFT CR-UTR:UTR210 SETTL setl_210 RZPGROUP,UTR210,14147158,0
bank_211,2026-08-15 04:00:00,NEFT CR SETTL setl_211 RZPGROUP,,48299872,0
bank_212,2026-08-18 10:00:00,NEFT CR SETTL setl_212 RZPGROUP,,4255542,0
bank_214,2026-08-14 08:00:00,NEFT CR-UTR:UTR214 SETTL setl_214 RZPGROUP,UTR214,2153646,0
bank_215,2026-08-12 13:00:00,NEFT CR-UTR:UTR215 SETTL setl_215 RZPGROUP,UTR215,22601810,0
bank_216,2026-08-12 09:00:00,NEFT CR SETTL setl_216 RZPGROUP,,7452178,0
