internal_id,order_id,payment_id,created_at,amount_paise,currency,payment_status
int_001,order_001,pay_001,2026-08-09 00:00:00,5783400,INR,captured
int_002,order_002,pay_002,2026-08-12 18:00:00,47259900,INR,captured
int_003,order_003,pay_003,2026-08-06 22:00:00,27358700,INR,captured
int_004,order_004,pay_004,2026-08-09 18:00:00,32771200,INR,captured
int_005,order_005,pay_005,2026-08-10 02:00:00,17201300,INR,captured
int_006,order_006,pay_006,2026-08-12 21:00:00,35610900,INR,captured
int_007,order_007,pay_007,2026-08-18 00:00:00,15142500,INR,captured
int_008,order_008,pay_008,2026-08-12 22:00:00,35522300,INR,captured
int_009,order_009,pay_009,2026-08-10 16:00:00,27124500,INR,captured
int_010,order_010,pay_010,2026-08-19 03:00:00,42387100,INR,captured
int_011,order_011,pay_011,2026-08-13 22:00:00,32148300,INR,captured
int_012,order_012,pay_012,2026-08-09 18:00:00,26019600,INR,captured
int_013,order_013,pay_013,2026-08-09 17:00:00,40911600,INR,captured
int_014,order_014,pay_014,2026-08-12 00:00:00,29324100,INR,captured
int_015,order_015,pay_015,2026-08-10 00:00:00,29403700,INR,captured
int_016,order_016,pay_016,2026-08-08 05:00:00,39088900,INR,captured
int_017,order_017,pay_017,2026-08-12 04:00:00,25506800,INR,captured
int_018,order_018,pay_018,2026-08-11 04:00:00,14345600,INR,captured
int_019,order_019,pay_019,2026-08-13 22:00:00,20182000,INR,captured
int_020,order_020,pay_020,2026-08-09 04:00:00,28548400,INR,captured
int_021,order_021,pay_021,2026-08-15 07:00:00,47539500,INR,captured
int_022,order_022,pay_022,2026-08-18 00:00:00,39603700,INR,captured
int_023,order_023,pay_023,2026-08-10 02:00:00,2205700,INR,captured
int_024,order_024,pay_024,2026-08-13 23:00:00,38067900,INR,captured
int_025,order_025,pay_025,2026-08-15 00:00:00,31132200,INR,captured
int_026,order_026,pay_026,2026-08-13 04:00:00,2736300,INR,captured
int_027,order_027,pay_027,2026-08-09 01:00:00,17794700,INR,captured
int_028,order_028,pay_028,2026-08-06 22:00:00,1116200,INR,captured
int_029,order_029,pay_029,2026-08-16 04:00:00,39643500,INR,captured
int_030,order_030,pay_030,2026-08-08 19:00:00,6717600,INR,captured
int_031,order_031,pay_031,2026-08-14 02:00:00,8896900,INR,captured
int_032,order_032,pay_032,2026-08-10 06:00:00,30288300,INR,captured
int_033,order_033,pay_033,2026-08-11 21:00:00,36652900,INR,captured
int_034,order_034,pay_034,2026-08-08 00:00:00,3715300,INR,captured
int_035,order_035,pay_035,2026-08-11 02:00:00,22829100,INR,captured
int_036,order_036,pay_036,2026-08-11 02:00:00,34202700,INR,captured
int_037,order_037,pay_037,2026-08-11 19:00:00,44754200,INR,captured
int_038,order_038,pay_038,2026-08-09 23:00:00,29976500,INR,captured
int_039,order_039,pay_039,2026-08-12 01:00:00,25661600,INR,captured
int_040,order_040,pay_040,2026-08-12 00:00:00,36862200,INR,captured
int_041,order_041,pay_041,2026-08-06 18:00:00,25715500,INR,captured
int_042,order_042,pay_042,2026-08-14 23:00:00,41672500,INR,captured
int_043,order_043,pay_043,2026-08-10 02:00:00,16154000,INR,captured
int_044,order_044,pay_044,2026-08-08 01:00:00,36949800,INR,captured
int_045,order_045,pay_045,2026-08-12 19:00:00,37916000,INR,captured
int_046,order_046,pay_046,2026-08-08 04:00:00,11444700,INR,captured
int_047,order_047,pay_047,2026-08-10 03:00:00,12026600,INR,captured
int_048,order_048,pay_048,2026-08-18 19:00:00,2486300,INR,captured
int_049,order_049,pay_049,2026-08-14 22:00:00,45855600,INR,captured
int_050,order_050,pay_050,2026-08-15 04:00:00,9765900,INR,captured
int_051,order_051,pay_051,2026-08-14 23:00:00,25881600,INR,captured
int_052,order_052,pay_052,2026-08-14 23:00:00,13112300,INR,captured
int_053,order_053,pay_053,2026-08-08 01:00:00,47731700,INR,captured
int_054,order_054,pay_054,2026-08-19 00:00:00,38901900,INR,captured
int_055,order_055,pay_055,2026-08-14 02:00:00,12675800,INR,captured
int_056,order_056,pay_056,2026-08-09 02:00:00,36242900,INR,captured
int_057,order_057,pay_057,2026-08-08 22:00:00,2205700,INR,captured
int_058,order_058,pay_058,2026-08-08 00:00:00,6117500,INR,captured
int_059,order_059,pay_059,2026-08-12 22:00:00,3226700,INR,captured
int_060,order_060,pay_060,2026-08-10 23:00:00,36206500,INR,captured
int_061,order_061,pay_061,2026-08-14 22:00:00,4317400,INR,captured
int_062,order_062,pay_062,2026-08-11 16:00:00,4888100,INR,captured
int_063,order_063,pay_063,2026-08-07 06:00:00,24767700,INR,captured
int_064,order_064,pay_064,2026-08-08 01:00:00,4883700,INR,captured
int_065,order_065,pay_065,2026-08-12 19:00:00,45069900,INR,captured
int_066,order_066,pay_066,2026-08-09 00:00:00,34838400,INR,captured
int_067,order_067,pay_067,2026-08-18 21:00:00,17048800,INR,captured
int_068,order_068,pay_068,2026-08-11 20:00:00,2941800,INR,captured
int_069,order_069,pay_069,2026-08-10 20:00:00,10772300,INR,captured
int_070,order_070,pay_070,2026-08-13 00:00:00,1613500,INR,captured
int_071,order_071,pay_071,2026-08-14 21:00:00,21490400,INR,captured
int_072,order_072,pay_072,2026-08-10 22:00:00,26229200,INR,captured
int_072_dup,order_072,pay_072,2026-08-10 22:00:00,26229200,INR,captured
int_073,order_073,pay_073,2026-08-08 00:00:00,2205700,INR,captured
int_074,order_074,pay_074,2026-08-17 06:00:00,14583300,INR,captured
int_075,order_075,pay_075,2026-08-07 19:00:00,44007800,INR,captured
int_076,order_076,pay_076,2026-08-07 02:00:00,17529400,INR,captured
int_077,order_077,pay_077,2026-08-09 04:00:00,30078600,INR,captured
int_078,order_078,pay_078,2026-08-18 00:00:00,37074200,INR,captured
int_079,order_079,pay_079,2026-08-10 01:00:00,26434500,INR,captured
int_080,order_080,pay_080,2026-08-14 06:00:00,37976800,INR,captured
int_081,order_081,pay_081,2026-08-08 16:00:00,17850300,INR,captured
int_082,order_082,pay_082,2026-08-08 22:00:00,32962300,INR,captured
int_083,order_083,pay_083,2026-08-14 21:00:00,39252000,INR,captured
int_084,order_084,pay_084,2026-08-11 20:00:00,8822300,INR,captured
int_085,order_085,pay_085,2026-08-11 04:00:00,18893800,INR,captured
int_086,order_086,pay_086,2026-08-14 02:00:00,35845900,INR,captured
int_087,order_087,pay_087,2026-08-19 05:00:00,35915900,INR,captured
int_088,order_088,pay_088,2026-08-10 21:00:00,24194700,INR,captured
int_089,order_089,pay_089,2026-08-09 18:00:00,23259300,INR,captured
int_090,order_090,pay_090,2026-08-10 21:00:00,44418200,INR,captured
int_091,order_091,pay_091,2026-08-10 05:00:00,20094400,INR,captured
int_092,order_092,pay_092,2026-08-15 05:00:00,524500,INR,captured
int_093,order_093,pay_093,2026-08-12 19:00:00,33477100,INR,captured
int_094,order_094,pay_094,2026-08-07 14:00:00,16296900,INR,captured
int_095,order_095,pay_095,2026-08-11 04:00:00,47790600,INR,captured
int_096,order_096,pay_096,2026-08-07 04:00:00,41335900,INR,captured
int_097,order_097,pay_097,2026-08-11 23:00:00,42383200,INR,captured
int_098,order_098,pay_098,2026-08-12 06:00:00,39639200,INR,captured
int_099,order_099,pay_099,2026-08-06 21:00:00,13965200,INR,captured
int_100,order_100,pay_100,2026-08-10 19:00:00,20076700,INR,captured
int_101,order_101,pay_101,2026-08-07 20:00:00,46459300,INR,captured
int_102,order_102,pay_102,2026-08-12 05:00:00,47778100,INR,captured
int_103,order_103,pay_103,2026-08-08 23:00:00,16057400,INR,captured
int_104,order_104,pay_104,2026-08-11 01:00:00,23883900,INR,captured
int_105,order_105,pay_105,2026-08-09 18:00:00,32377900,INR,captured
int_106,order_106,pay_106,2026-08-17 03:00:00,23346000,INR,captured
int_107,order_107,pay_107,2026-08-09 21:00:00,47374800,INR,captured
int_108,order_108,pay_108,2026-08-08 16:00:00,49855400,INR,captured
int_109,order_109,pay_109,2026-08-10 19:00:00,41350600,INR,captured
int_110,order_110,pay_110,2026-08-17 01:00:00,43606300,INR,captured
int_111,order_111,pay_111,2026-08-16 03:00:00,41447600,INR,captured
int_112,order_112,pay_112,2026-08-15 22:00:00,5863300,INR,captured
int_113,order_113,pay_113,2026-08-15 03:00:00,17074900,INR,captured
int_114,order_114,pay_114,2026-08-13 19:00:00,27682000,INR,captured
int_115,order_115,pay_115,2026-08-18 23:00:00,31225100,INR,captured
int_116,order_116,pay_116,2026-08-08 18:00:00,15914100,INR,captured
int_117,order_117,pay_117,2026-08-14 07:00:00,36071200,INR,captured
int_118,order_118,pay_118,2026-08-13 22:00:00,31992300,INR,captured
int_119,order_119,pay_119,2026-08-06 21:00:00,31420500,INR,captured
int_120,order_120,pay_120,2026-08-13 21:00:00,41681000,INR,captured
int_121,order_121,pay_121,2026-08-07 20:00:00,17869700,INR,captured
int_122,order_122,pay_122,2026-08-10 03:00:00,22474700,INR,captured
int_123,order_123,pay_123,2026-08-14 01:00:00,4882800,INR,captured
int_124,order_124,pay_124,2026-08-16 00:00:00,29269800,INR,captured
int_125,order_125,pay_125,2026-08-15 00:00:00,45613000,INR,captured
int_126,order_126,pay_126,2026-08-12 00:00:00,26703000,INR,captured
int_127,order_127,pay_127,2026-08-08 02:00:00,2205700,INR,captured
int_128,order_128,pay_128,2026-08-07 01:00:00,44410400,INR,captured
int_129,order_129,pay_129,2026-08-11 06:00:00,36941600,INR,captured
int_130,order_130,pay_130,2026-08-17 05:00:00,29791500,INR,captured
int_131,order_131,pay_131,2026-08-15 22:00:00,39217700,INR,captured
int_132,order_132,pay_132,2026-08-09 20:00:00,8352700,INR,captured
int_133,order_133,pay_133,2026-08-13 21:00:00,8256800,INR,captured
int_134,order_134,pay_134,2026-08-08 04:00:00,25562600,INR,captured
int_135,order_135,pay_135,2026-08-13 21:00:00,22639800,INR,captured
int_136,order_136,pay_136,2026-08-09 22:00:00,11661500,INR,captured
int_137,order_137,pay_137,2026-08-13 00:00:00,40331200,INR,captured
int_138,order_138,pay_138,2026-08-17 05:00:00,26177300,INR,captured
int_139,order_139,pay_139,2026-08-13 00:00:00,36992600,INR,captured
int_140,order_140,pay_140,2026-08-07 17:00:00,1082500,INR,captured
int_141,order_141,pay_141,2026-08-09 23:00:00,21303400,INR,captured
int_142,order_142,pay_142,2026-08-12 07:00:00,9111100,INR,captured
int_143,order_143,pay_143,2026-08-10 01:00:00,12856700,INR,captured
int_144,order_144,pay_144,2026-08-10 19:00:00,11716700,INR,captured
int_145,order_145,pay_145,2026-08-11 19:00:00,26836100,INR,captured
int_146,order_146,pay_146,2026-08-14 03:00:00,5489900,INR,captured
int_147,order_147,pay_147,2026-08-07 22:00:00,9387500,INR,captured
int_148,order_148,pay_148,2026-08-07 19:00:00,8014500,INR,captured
int_149,order_149,pay_149,2026-08-16 02:00:00,31107400,INR,captured
int_150,order_150,pay_150,2026-08-15 05:00:00,2071700,INR,captured
int_150_dup,order_150,pay_150,2026-08-15 05:00:00,2071700,INR,captured
int_151,order_151,pay_151,2026-08-06 22:00:00,31246800,INR,captured
int_152,order_152,pay_152,2026-08-11 22:00:00,47760300,INR,captured
int_153,order_153,pay_153,2026-08-14 22:00:00,23720300,INR,captured
int_154,order_154,pay_154,2026-08-09 03:00:00,13088900,INR,captured
int_155,order_155,pay_155,2026-08-17 20:00:00,20411700,INR,captured
int_156,order_156,pay_156,2026-08-14 03:00:00,17385200,INR,captured
int_156_dup,order_156,pay_156,2026-08-14 03:00:00,17385200,INR,captured
int_157,order_157,pay_157,2026-08-15 23:00:00,4373000,INR,captured
int_158,order_158,pay_158,2026-08-13 19:00:00,31297200,INR,captured
int_159,order_159,pay_159,2026-08-11 18:00:00,35233300,INR,captured
int_160,order_160,pay_160,2026-08-11 22:00:00,19110500,INR,captured
int_161,order_161,pay_161,2026-08-13 23:00:00,11977300,INR,captured
int_162,order_162,pay_162,2026-08-06 16:00:00,40516000,INR,captured
int_163,order_163,pay_163,2026-08-10 01:00:00,2205700,INR,captured
int_164,order_164,pay_164,2026-08-14 21:00:00,2205700,INR,captured
int_165,order_165,pay_165,2026-08-18 00:00:00,32112700,INR,captured
int_166,order_166,pay_166,2026-08-16 18:00:00,42495100,INR,captured
int_167,order_167,pay_167,2026-08-11 05:00:00,40440700,INR,captured
int_168,order_168,pay_168,2026-08-10 20:00:00,7356000,INR,captured
int_169,order_169,pay_169,2026-08-15 03:00:00,44725600,INR,captured
int_170,order_170,pay_170,2026-08-07 02:00:00,47564100,INR,captured
int_171,order_171,pay_171,2026-08-10 01:00:00,46480000,INR,captured
int_172,order_172,pay_172,2026-08-13 02:00:00,19706300,INR,captured
int_173,order_173,pay_173,2026-08-15 04:00:00,16808200,INR,captured
int_174,order_174,pay_174,2026-08-07 20:00:00,48197900,INR,captured
int_175,order_175,pay_175,2026-08-11 20:00:00,1096300,INR,captured
int_176,order_176,pay_176,2026-08-11 03:00:00,40793700,INR,captured
int_177,order_177,pay_177,2026-08-08 19:00:00,22110900,INR,captured
int_178,order_178,pay_178,2026-08-11 21:00:00,30249000,INR,captured
int_179,order_179,pay_179,2026-08-12 21:00:00,18597700,INR,captured
int_180,order_180,pay_180,2026-08-13 18:00:00,19006000,INR,captured
int_181,order_181,pay_181,2026-08-11 00:00:00,19671700,INR,captured
int_182,order_182,pay_182,2026-08-15 06:00:00,38527200,INR,captured
int_183,order_183,pay_183,2026-08-12 22:00:00,17849600,INR,captured
int_184,order_184,pay_184,2026-08-07 22:00:00,3408200,INR,captured
int_185,order_185,pay_185,2026-08-14 22:00:00,46540900,INR,captured
int_186,order_186,pay_186,2026-08-11 21:00:00,24919700,INR,captured
int_187,order_187,pay_187,2026-08-11 00:00:00,45492700,INR,captured
int_188,order_188,pay_188,2026-08-08 05:00:00,39070700,INR,captured
int_189,order_189,pay_189,2026-08-07 18:00:00,19359500,INR,captured
int_190,order_190,pay_190,2026-08-13 04:00:00,22676200,INR,captured
int_191,order_191,pay_191,2026-08-16 20:00:00,34751200,INR,captured
int_192,order_192,pay_192,2026-08-08 06:00:00,2205700,INR,captured
