entity_id,type,payment_id,order_id,settlement_id,settlement_utr,amount_paise,fee_paise,tax_paise,debit_paise,credit_paise,settled_at
ent_001,payment,pay_001,order_001,setl_001,UTR001,5783400,115668,20820,0,0,2026-08-11 06:00:00
ent_002,payment,pay_002,order_002,setl_002,,47259900,945198,170135,0,0,2026-08-14 05:00:00
ent_003,payment,pay_003,order_003,setl_003,UTR003,27358700,547174,98491,0,0,2026-08-09 04:00:00
ent_004,payment,pay_004,order_004,setl_004,UTR004,32771200,655424,117976,0,0,2026-08-12 02:00:00
ent_005,payment,pay_005,order_005,setl_005,UTR005,17201300,344026,61924,0,0,2026-08-11 05:00:00
ent_006,payment,pay_006,order_006,setl_006,UTR006,35610900,712218,128199,0,0,2026-08-15 05:00:00
ent_007,payment,pay_007,order_007,setl_007,UTR007,15142500,302850,54513,0,0,2026-08-20 07:00:00
ent_008,payment,pay_008,order_008,setl_008,UTR008,35522300,710446,127880,0,0,2026-08-14 08:00:00
ent_009,payment,pay_009,order_009,setl_009,UTR009,27124500,542490,97648,0,0,2026-08-12 02:00:00
ent_010,payment,pay_010,order_010,setl_010,UTR010,42387100,847742,152593,0,0,2026-08-20 03:00:00
ent_011,payment,pay_011,order_011,setl_011,UTR011,32148300,642966,115733,0,0,2026-08-16 08:00:00
ent_012,payment,pay_012,order_012,setl_012,UTR012,26019600,520392,93670,0,0,2026-08-11 04:00:00
ent_013,payment,pay_013,order_013,setl_013,UTR013,40911600,818232,147281,0,0,2026-08-11 04:00:00
ent_014,payment,pay_014,order_014,setl_014,UTR014,29324100,586482,105566,0,0,2026-08-14 02:00:00
ent_015,payment,pay_015,order_015,setl_015,UTR015,29403700,588074,105853,0,0,2026-08-12 08:00:00
ent_015,payment,pay_015,order_015,setl_015,UTR015,29403700,588074,105853,0,0,2026-08-12 08:00:00
ent_016,payment,pay_016,order_016,setl_016,UTR016,39088900,781778,140720,0,0,2026-08-10 08:00:00
ent_017,payment,pay_017,order_017,setl_017,,25506800,510136,91824,0,0,2026-08-14 05:00:00
ent_018,payment,pay_018,order_018,setl_018,UTR018,14345600,286912,51644,0,0,2026-08-12 06:00:00
ent_019,payment,pay_019,order_019,setl_019,UTR019,20182000,403640,72655,0,0,2026-08-15 04:00:00
ent_020,payment,pay_020,order_020,setl_020,UTR020,28548400,570968,102774,0,0,2026-08-10 07:00:00
ent_022,payment,pay_022,order_022,setl_022,UTR022,39603700,792074,142573,0,0,2026-08-19 07:00:00
ent_023,payment,pay_023,order_023,setl_023,UTR023,2205700,44114,7940,0,0,2026-08-11 08:00:00
ent_024,payment,pay_024,order_024,setl_024,,38067900,761358,137044,0,0,2026-08-15 08:00:00
ent_025,payment,pay_025,order_025,setl_025,UTR025,31132200,622644,112075,0,0,2026-08-17 02:00:00
ent_026,payment,pay_026,order_026,setl_026,UTR026,2736300,54726,9850,0,0,2026-08-15 07:00:00
ent_027,payment,pay_027,order_027,setl_027,UTR027,17794700,355894,64060,0,0,2026-08-11 05:00:00
ent_028,payment,pay_028,order_028,setl_028,UTR028,1116200,22324,4018,0,0,2026-08-09 01:00:00
ent_029,payment,pay_029,order_029,setl_029,UTR029,39643500,792870,142716,0,0,2026-08-17 04:00:00
ent_030,payment,pay_030,order_030,setl_030,UTR030,6717600,134352,24183,0,0,2026-08-10 02:00:00
ent_031,payment,pay_031,order_031,setl_031,UTR031,8896900,177938,32028,0,0,2026-08-16 03:00:00
ent_032,payment,pay_032,order_032,setl_032,UTR032,30288300,605766,109037,0,0,2026-08-11 07:00:00
ent_033,payment,pay_033,order_033,setl_033,UTR033,36652900,733058,131950,0,0,2026-08-13 02:00:00
ent_034,payment,pay_034,order_034,setl_034,UTR034,3715300,74306,13375,0,0,2026-08-09 06:00:00
ent_035,payment,pay_035,order_035,setl_035,UTR035,22829100,456582,82184,0,0,2026-08-12 08:00:00
ent_036,payment,pay_036,order_036,setl_036,UTR036,34202700,684054,123129,0,0,2026-08-13 08:00:00
ent_038,payment,pay_038,order_038,setl_038,UTR038,29976500,599530,107915,0,0,2026-08-11 06:00:00
ent_039,payment,pay_039,order_039,setl_039,UTR039,25661600,513232,92381,0,0,2026-08-14 06:00:00
ent_040,payment,pay_040,order_040,setl_040,UTR040,36862200,737244,132703,0,0,2026-08-13 01:00:00
ent_041,payment,pay_041,order_041,setl_041,,25715500,514310,92575,0,0,2026-08-09 04:00:00
ent_042,payment,pay_042,order_042,setl_042,UTR042,41672500,833450,150021,0,0,2026-08-17 02:00:00
ent_043,payment,pay_043,order_043,setl_043,UTR043,16154000,323080,58154,0,0,2026-08-12 08:00:00
ent_044,payment,pay_044,order_044,setl_044,UTR044,36949800,738996,133019,0,0,2026-08-10 05:00:00
ent_045,payment,pay_045,order_045,setl_045,UTR045,37916000,758320,136497,0,0,2026-08-14 06:00:00
ent_046,payment,pay_046,order_046,setl_046,UTR046,11444700,228894,41200,0,0,2026-08-10 05:00:00
ent_047,payment,pay_047,order_047,setl_047,UTR047,12026600,240532,43295,0,0,2026-08-12 03:00:00
ent_048,payment,pay_048,order_048,setl_048,UTR048,2486300,49726,8950,0,0,2026-08-20 05:00:00
ent_049,payment,pay_049,order_049,setl_049,UTR049,45855600,917112,165080,0,0,2026-08-17 05:00:00
ent_050,payment,pay_050,order_050,setl_050,UTR050,9765900,195318,35157,0,0,2026-08-17 05:00:00
ent_051,payment,pay_051,order_051,setl_051,UTR051,25881600,517632,93173,0,0,2026-08-16 01:00:00
ent_052,payment,pay_052,order_052,setl_052,UTR052,13112300,262246,47204,0,0,2026-08-16 07:00:00
ent_054,payment,pay_054,order_054,setl_054,UTR054,38901900,778038,140046,0,0,2026-08-20 04:00:00
ent_055,payment,pay_055,order_055,setl_055,UTR055,12675800,253516,45632,0,0,2026-08-15 02:00:00
ent_056,payment,pay_056,order_056,setl_056,UTR056,36242900,724858,130474,0,0,2026-08-10 05:00:00
ent_057,payment,pay_057,order_057,setl_057,UTR057,2205700,44114,7940,0,0,2026-08-10 02:00:00
ent_058,payment,pay_058,order_058,setl_058,UTR058,6117500,122350,22023,0,0,2026-08-09 04:00:00
ent_059,payment,pay_059,order_059,setl_059,UTR059,3226700,64534,11616,0,0,2026-08-15 05:00:00
ent_060,payment,pay_060,order_060,setl_060,,36206500,724130,130343,0,0,2026-08-13 07:00:00
ent_061,payment,pay_061,order_061,setl_061,UTR061,4317400,86348,15542,0,0,2026-08-17 07:00:00
ent_062,payment,pay_062,order_062,setl_062,,4888100,97762,17597,0,0,2026-08-14 01:00:00
ent_063,payment,pay_063,order_063,setl_063,UTR063,24767700,495354,89163,0,0,2026-08-09 08:00:00
ent_064,payment,pay_064,order_064,setl_064,UTR064,4883700,97674,17581,0,0,2026-08-10 06:00:00
ent_065,payment,pay_065,order_065,setl_065,UTR065,45069900,901398,162251,0,0,2026-08-15 06:00:00
ent_066,payment,pay_066,order_066,setl_066,UTR066,34838400,696768,125418,0,0,2026-08-11 01:00:00
ent_067,payment,pay_067,order_067,setl_067,UTR067,17048800,340976,61375,0,0,2026-08-20 07:00:00
ent_068,payment,pay_068,order_068,setl_068,UTR068,2941800,58836,10590,0,0,2026-08-14 06:00:00
ent_069,payment,pay_069,order_069,setl_069,,10772300,215446,38780,0,0,2026-08-13 03:00:00
ent_070,payment,pay_070,order_070,setl_070,UTR070,1613500,32270,5808,0,0,2026-08-14 04:00:00
ent_071,payment,pay_071,order_071,setl_071,UTR071,21490400,429808,77365,0,0,2026-08-16 04:00:00
ent_072,payment,pay_072,order_072,setl_072,UTR072,26229200,524584,94425,0,0,2026-08-13 05:00:00
ent_073,payment,pay_073,order_073,setl_073,UTR073,2205700,44114,7940,0,0,2026-08-10 03:00:00
ent_074,payment,pay_074,order_074,setl_074,UTR074,14583300,291666,52499,0,0,2026-08-19 06:00:00
ent_075,payment,pay_075,order_075,setl_075,UTR075,44007800,880156,158428,0,0,2026-08-10 03:00:00
ent_076,payment,pay_076,order_076,setl_076,UTR076,17529400,350588,63105,0,0,2026-08-09 07:00:00
ent_077,payment,pay_077,order_077,setl_077,UTR077,30078600,601572,108282,0,0,2026-08-11 04:00:00
ent_078,payment,pay_078,order_078,setl_078,UTR078,37074200,741484,133467,0,0,2026-08-19 07:00:00
ent_079,payment,pay_079,order_079,setl_079,UTR079,26434500,528690,95164,0,0,2026-08-12 02:00:00
ent_080,payment,pay_080,order_080,setl_080,UTR080,37976800,759536,136716,0,0,2026-08-15 07:00:00
ent_081,payment,pay_081,order_081,setl_081,UTR081,17850300,357006,64261,0,0,2026-08-11 02:00:00
ent_082,payment,pay_082,order_082,setl_082,UTR082,32962300,659246,118664,0,0,2026-08-10 01:00:00
ent_084,payment,pay_084,order_084,setl_084,UTR084,8822300,176446,31760,0,0,2026-08-13 01:00:00
ent_085,payment,pay_085,order_085,setl_085,UTR085,18893800,377876,68017,0,0,2026-08-12 07:00:00
ent_087,payment,pay_087,order_087,setl_087,UTR087,35915900,718318,129297,0,0,2026-08-20 08:00:00
ent_088,payment,pay_088,order_088,setl_088,UTR088,24194700,483894,87100,0,0,2026-08-13 01:00:00
ent_090,payment,pay_090,order_090,setl_090,UTR090,44418200,888364,159905,0,0,2026-08-13 04:00:00
ent_091,payment,pay_091,order_091,setl_091,UTR091,20094400,401888,72339,0,0,2026-08-12 05:00:00
ent_092,payment,pay_092,order_092,setl_092,UTR092,524500,10490,1888,0,0,2026-08-17 08:00:00
ent_093,payment,pay_093,order_093,setl_093,UTR093,33477100,669542,120517,0,0,2026-08-14 05:00:00
ent_094,payment,pay_094,order_094,setl_094,UTR094,16296900,325938,58668,0,0,2026-08-10 01:00:00
ent_095,payment,pay_095,order_095,setl_095,UTR095,47790600,955812,172046,0,0,2026-08-13 06:00:00
ent_096,payment,pay_096,order_096,setl_096,UTR096,41335900,826718,148809,0,0,2026-08-09 06:00:00
ent_097,payment,pay_097,order_097,setl_097,UTR097,42383200,847664,152579,0,0,2026-08-13 06:00:00
ent_098,payment,pay_098,order_098,setl_098,UTR098,39639200,792784,142701,0,0,2026-08-14 07:00:00
ent_099,payment,pay_099,order_099,setl_099,UTR099,13965200,279304,50274,0,0,2026-08-09 02:00:00
ent_100,payment,pay_100,order_100,setl_100,UTR100,20076700,401534,72276,0,0,2026-08-12 02:00:00
ent_101,payment,pay_101,order_101,setl_101,UTR101,46459300,929186,167253,0,0,2026-08-09 06:00:00
